date,game_id,VH,Team,1st,2nd,Final,Open,Close,ML,2H
1125,,Away,Oakland,12,37,49,NL,143.5,1000,73.5
1125,,Home,Xavier,53,48,101,NL,16,-2000,5
1125,,Away,NorthDakota,28,39,67,NL,139.5,235,73.5
1125,,Home,MiamiOhio,34,47,81,NL,6.5,-275,1.5
1125,,Away,WesternMichigan,26,36,62,134,125,1200,64.5
1125,,Home,Butler,32,34,66,20,18.5,-3000,9
1125,,Away,WesternCarolina,44,54,98,NL,4,-175,1.5
1125,,Home,NCWilmington,40,36,76,NL,156.5,155,85.5
1125,,Away,Drake,38,42,80,NL,132.5,160,72
1125,,Home,KansasState,36,34,70,NL,4,-180,3
1125,,Away,OldDominion,29,38,67,NL,126,400,69
1125,,Home,Maryland,42,43,85,NL,9,-500,2
1125,,Away,Fairfield,29,27,56,127.5,126.5,1200,70
1125,,Home,Providence,41,56,97,20,18,-3000,7
1125,,Away,Toledo,28,31,59,NL,141.5,135,73
1125,,Home,Bradley,20,41,61,NL,3,-155,3.5
1125,,Away,OklahomaState,32,43,75,NL,9,-400,5.5
1125,,Home,UTArlington,27,41,68,NL,141.5,330,75.5
1125,,Away,Evansville,16,28,44,133,124.5,1500,64.5
1125,,Home,Louisville,36,43,79,20.5,21,-5000,7.5
1125,,Away,BowlingGreen,36,46,82,NL,148.5,650,79.5
1125,,Home,Michigan,43,53,96,NL,13.5,-1000,6.5
1125,,Away,IdahoState,18,31,49,NL,146,600,73
1125,,Home,SantaClara,30,32,62,NL,11.5,-900,4.5
1125,,Away,CalRiverside,27,33,60,NL,123,225,66
1125,,Home,Pacific,38,28,66,NL,6,-265,1.5
1125,,Away,BallState,41,32,73,NL,pk,-110,1.5
1125,,Home,NorthernKentucky,44,30,74,NL,130,-110,71
1125,,Away,CollOfCharleston,32,28,60,142.5,146.5,1100,78
1125,,Home,NorthCarolina,39,40,79,17,17,-2500,8.5
1125,,Away,MoreheadState,26,19,45,140,138.5,2000,71.5
1125,,Home,Kentucky,45,36,81,24.5,25.5,-10000,9
1125,,Away,OralRoberts,32,32,64,NL,149.5,800,79
1125,,Home,Missouri,42,49,91,NL,14.5,-1400,5.5
1125,,Away,IllinoisChicago,18,47,65,NL,128,105,3
1125,,Home,NorthernIllinois,38,23,61,NL,1.5,-125,66.5
1125,,Away,FloridaAtlantic,27,39,66,NL,138.5,175,0.5
1125,,Home,SouthAlabama,38,30,68,NL,4.5,-200,72
1125,,Away,St.Peter's,38,37,75,NL,140.5,500,76.5
1125,,Home,St.Johns,44,32,76,NL,10.5,-700,5
1125,,Away,EasternMichigan,27,40,67,NL,136.5,1600,72
1125,,Home,MichiganState,43,40,83,NL,21.5,-6000,9
1125,,Away,southDakota,31,30,61,NL,144.5,1100,77
1125,,Home,Colorado,45,39,84,NL,17,-2500,6.5
1125,,Away,WiscGreenBay,22,47,69,NL,143.5,1400,77.5
1125,,Home,Minnesota,53,46,99,NL,19,-4000,6
1125,,Away,TennesseeTech,19,40,59,NL,141.5,2000,75.5
1125,,Home,Indiana,48,41,89,NL,25.5,-10000,8.5
1125,,Away,JacksonvilleState,24,33,57,NL,152,1500,78.5
1125,,Home,Alabama,36,45,81,NL,20.5,-5000,8.5
